// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/" /p:OutDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/publish/" in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1
// command took 0.85 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/" /p:OutDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/publish/" --output "/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1
// command took 4.87 sec and exited with 0
// ***** Done, took 00:00:05 (5.86 sec)   *****
// Found 3 benchmarks:
//   AllocationBenchmarks.ValidateStringWithMultipleRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   AllocationBenchmarks.ValidateIntWithMinMax: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   AllocationBenchmarks.ValidateStringWithManyRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

// **************************
// Benchmark: AllocationBenchmarks.ValidateStringWithMultipleRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Zeta.Benchmarks-ShortRun-1.dll --anonymousPipes 131 132 --benchmarkName Zeta.Benchmarks.AllocationBenchmarks.ValidateStringWithMultipleRules --job ShortRun --benchmarkId 0 in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 108708.00 ns, 108.7080 us/op
WorkloadJitting  1: 1 op, 6498000.00 ns, 6.4980 ms/op

OverheadJitting  2: 16 op, 321250.00 ns, 20.0781 us/op
WorkloadJitting  2: 16 op, 277542.00 ns, 17.3464 us/op

WorkloadPilot    1: 16 op, 14416.00 ns, 901.0000 ns/op
WorkloadPilot    2: 32 op, 20541.00 ns, 641.9063 ns/op
WorkloadPilot    3: 64 op, 40042.00 ns, 625.6563 ns/op
WorkloadPilot    4: 128 op, 65209.00 ns, 509.4453 ns/op
WorkloadPilot    5: 256 op, 116208.00 ns, 453.9375 ns/op
WorkloadPilot    6: 512 op, 240542.00 ns, 469.8086 ns/op
WorkloadPilot    7: 1024 op, 470875.00 ns, 459.8389 ns/op
WorkloadPilot    8: 2048 op, 903458.00 ns, 441.1416 ns/op
WorkloadPilot    9: 4096 op, 1835500.00 ns, 448.1201 ns/op
WorkloadPilot   10: 8192 op, 3793292.00 ns, 463.0483 ns/op
WorkloadPilot   11: 16384 op, 7254916.00 ns, 442.8049 ns/op
WorkloadPilot   12: 32768 op, 14028625.00 ns, 428.1197 ns/op
WorkloadPilot   13: 65536 op, 28010250.00 ns, 427.4025 ns/op
WorkloadPilot   14: 131072 op, 56308375.00 ns, 429.5988 ns/op
WorkloadPilot   15: 262144 op, 58468834.00 ns, 223.0409 ns/op
WorkloadPilot   16: 524288 op, 52523500.00 ns, 100.1806 ns/op
WorkloadPilot   17: 1048576 op, 105471583.00 ns, 100.5855 ns/op
WorkloadPilot   18: 2097152 op, 212408542.00 ns, 101.2843 ns/op
WorkloadPilot   19: 4194304 op, 427165958.00 ns, 101.8443 ns/op
WorkloadPilot   20: 8388608 op, 843201792.00 ns, 100.5175 ns/op

OverheadWarmup   1: 8388608 op, 16576542.00 ns, 1.9761 ns/op
OverheadWarmup   2: 8388608 op, 16448000.00 ns, 1.9608 ns/op
OverheadWarmup   3: 8388608 op, 16485292.00 ns, 1.9652 ns/op
OverheadWarmup   4: 8388608 op, 16465708.00 ns, 1.9629 ns/op
OverheadWarmup   5: 8388608 op, 16474125.00 ns, 1.9639 ns/op
OverheadWarmup   6: 8388608 op, 16320250.00 ns, 1.9455 ns/op

OverheadActual   1: 8388608 op, 16504417.00 ns, 1.9675 ns/op
OverheadActual   2: 8388608 op, 16539209.00 ns, 1.9716 ns/op
OverheadActual   3: 8388608 op, 16611500.00 ns, 1.9802 ns/op
OverheadActual   4: 8388608 op, 16609167.00 ns, 1.9800 ns/op
OverheadActual   5: 8388608 op, 16501958.00 ns, 1.9672 ns/op
OverheadActual   6: 8388608 op, 16494625.00 ns, 1.9663 ns/op
OverheadActual   7: 8388608 op, 16497917.00 ns, 1.9667 ns/op
OverheadActual   8: 8388608 op, 16504959.00 ns, 1.9675 ns/op
OverheadActual   9: 8388608 op, 16529833.00 ns, 1.9705 ns/op
OverheadActual  10: 8388608 op, 16739666.00 ns, 1.9955 ns/op
OverheadActual  11: 8388608 op, 16216917.00 ns, 1.9332 ns/op
OverheadActual  12: 8388608 op, 16268333.00 ns, 1.9393 ns/op
OverheadActual  13: 8388608 op, 9593458.00 ns, 1.1436 ns/op
OverheadActual  14: 8388608 op, 8114084.00 ns, 0.9673 ns/op
OverheadActual  15: 8388608 op, 8098750.00 ns, 0.9654 ns/op
OverheadActual  16: 8388608 op, 8313292.00 ns, 0.9910 ns/op
OverheadActual  17: 8388608 op, 8241875.00 ns, 0.9825 ns/op
OverheadActual  18: 8388608 op, 8063958.00 ns, 0.9613 ns/op
